yr_mfr,fuel_type,kms_run,sale_price,body_type,transmission,registered_state,make,model,total_owners,original_price,car_rating,warranty_avail
2015,1,39401,246499,1,1,1,1,117,1,314388.0,1,1
2011,1,80346,179299,1,1,1,1,11,1,300764.0,1,2
2014,1,50941,388299,1,1,1,2,56,1,488119.5,1,2
2012,2,64085,358999,2,1,3,1,105,1,411876.0,1,1
2009,3,72497,120099,1,1,1,2,59,2,297907.5,1,2
2019,2,29804,800199,3,1,3,1,115,1,984201.0,1,2
2010,1,86768,296499,2,1,3,4,27,3,298599.0,1,2
2014,1,84706,293899,1,1,2,1,119,2,293999.0,1,2
2014,2,76208,302499,1,1,1,7,47,1,312099.0,1,2
2018,2,41612,1018886,3,1,3,10,100,1,1018987.0,1,2
2008,1,91288,154499,1,1,1,2,98,1,161499.0,1,2
2016,1,80256,449299,1,2,3,4,66,1,564900.0,1,1
2014,2,92498,359799,1,1,3,1,104,1,431224.0,1,2
2018,2,75459,1207251,3,2,1,2,33,1,1290266.0,1,2
2010,1,161419,183299,1,1,3,1,92,2,184299.0,1,2
2009,1,168110,214399,1,1,3,2,60,1,355277.0,2,2
2014,2,101927,748099,3,1,1,7,64,1,935780.0,1,2
2012,2,95741,413899,2,1,2,2,114,1,529680.0,1,2
2012,2,67267,1056256,4,2,3,15,0,1,1551217.0,2,2
2015,1,23701,414699,1,1,3,1,104,1,421805.0,1,2
2014,2,29626,408099,2,1,3,1,105,1,413270.0,1,2
2016,1,17015,363599,1,1,1,1,104,2,379198.0,1,2
2011,1,62664,219899,1,1,1,4,66,3,330859.0,1,1
2016,1,29477,322799,1,1,3,1,117,1,326512.0,1,2
2016,1,21898,394099,1,1,1,2,56,1,499149.0,1,2
2014,1,27716,305599,1,2,3,1,24,2,317825.0,1,2
2017,1,25355,434999,1,1,3,2,56,1,440345.0,1,2
